time,control,x,theta1,theta2,xdot,theta1dot,theta2dot
4.120000000000000107e+00,-9.263798207732740764e-01,3.455229452080672559e+00,-5.764228562740876527e-02,-6.195908550122002784e-02,-1.015722755594890836e-01,1.145132237829775829e-01,1.016079040422976365e-01
4.160000000000000142e+00,-8.723582187410627853e-01,3.450707205375351805e+00,-5.311992735231165635e-02,-5.788644681055729602e-02,-1.245083266870097155e-01,1.122227455977843069e-01,1.018759894279699929e-01
4.200000000000000178e+00,-8.193065776240189280e-01,3.445313935436290276e+00,-4.870081716129575494e-02,-5.382009588128919969e-02,-1.451368426079085727e-01,1.093577344248297945e-01,1.013134387169166151e-01
4.240000000000000213e+00,-7.674720409222928197e-01,3.439139626295340424e+00,-4.440581999623205434e-02,-4.979092955425337003e-02,-1.635722686540645177e-01,1.060186214139375999e-01,1.000350686856447818e-01
4.280000000000000249e+00,-7.170611291748372196e-01,3.432269652327346154e+00,-4.025200017249376538e-02,-4.582544454160957653e-02,-1.799307398136737179e-01,1.022957315031388231e-01,9.814612562049482292e-02
4.320000000000000284e+00,-6.682422220670716229e-01,3.424784731593665921e+00,-3.625300652599630635e-02,-4.194611262001477631e-02,-1.943290304052323614e-01,9.827016908546583329e-02,9.574267740021080719e-02
4.360000000000000320e+00,-6.211483764508436423e-01,3.416760919692687359e+00,-3.241942625073249845e-02,-3.817173916820618823e-02,-2.068835797116825026e-01,9.401450786038384466e-02,9.291204816669351718e-02
4.400000000000000355e+00,-5.758804118284999163e-01,3.408269640736629302e+00,-2.875911361950791306e-02,-3.451780394341049524e-02,-2.177096102586492943e-01,8.959336308512631797e-02,8.973326865564427990e-02
4.440000000000000391e+00,-5.325101629001132153e-01,3.399377751508363410e+00,-2.527749716328308097e-02,-3.099678376027659860e-02,-2.269203504785877457e-01,8.506390031856532474e-02,8.627752939720416403e-02
4.480000000000000426e+00,-4.910837916472132747e-01,3.390147634493370088e+00,-2.197786712739772941e-02,-2.761845707439258141e-02,-2.346263680698382204e-01,8.047631545448427626e-02,8.260863182684853590e-02
4.520000000000000462e+00,-4.516250590889416827e-01,3.380637315333200998e+00,-1.886164393894039851e-02,-2.439019058538866372e-02,-2.409350152713993221e-01,7.587430614734942680e-02,7.878343610155584542e-02
4.560000000000000497e+00,-4.141384725442520676e-01,3.370900600285406945e+00,-1.592862783717723107e-02,-2.131720799113221571e-02,-2.459499829687324945e-01,7.129554408766028417e-02,7.485230570438829167e-02
4.600000000000000533e+00,-3.786122433556595723e-01,3.360987229465975723e+00,-1.317722959116198779e-02,-1.840284101948971851e-02,-2.497709572065705541e-01,6.677215031203224960e-02,7.085954885847084439e-02
4.639999999999999680e+00,-3.450210097143493471e-01,3.350943041954852930e+00,-1.060468223528760259e-02,-1.564876287569841665e-02,-2.524933693313963778e-01,6.233117114881935039e-02,6.684385609898804703e-02
4.679999999999999716e+00,-3.133282974654472142e-01,3.340810149225257764e+00,-8.207233900502750035e-03,-1.305520428595197818e-02,-2.542082295467747444e-01,5.799504987742946926e-02,6.283873253106819767e-02
4.719999999999999751e+00,-2.834887075903145259e-01,3.330627113779344395e+00,-5.980322035578835606e-03,-1.062115239150118566e-02,-2.550020330083131448e-01,5.378208816076081311e-02,5.887292259480205597e-02
4.759999999999999787e+00,-2.554498318109894583e-01,3.320429130308032217e+00,-3.918729548737436702e-03,-8.344532844966010346e-03,-2.549567275617795059e-01,4.970689133458482817e-02,5.497082469140965322e-02
4.799999999999999822e+00,-2.291539074787567465e-01,3.310248207119484309e+00,-2.016723621449080343e-03,-6.222375571145619122e-03,-2.541497326791565814e-01,4.578079232206515997e-02,5.115289283200542825e-02
4.839999999999999858e+00,-2.045392296037775726e-01,3.300113345982618185e+00,-2.681781329067023465e-04,-4.250964767662197136e-03,-2.526539999302503947e-01,4.201224999721787229e-02,4.743602253323499218e-02
4.879999999999999893e+00,-1.815413421010092510e-01,3.290050718898610338e+00,1.333319224587164531e-03,-2.425973826981806056e-03,-2.505381063105783790e-01,3.840721902106818131e-02,4.383391845371232415e-02
4.919999999999999929e+00,-1.600940320172501430e-01,3.280083840638837955e+00,2.794373962711682244e-03,-7.425859513482279848e-04,-2.478663728302647751e-01,3.496948939712911375e-02,4.035744165481489759e-02
4.959999999999999964e+00,-1.401301530677367957e-01,3.270233736168610239e+00,4.121704734201512427e-03,8.043986812379841063e-04,-2.446990018425995450e-01,3.170099491716811546e-02,3.701493502097787797e-02
5.000000000000000000e+00,-1.215822978383975794e-01,3.260519102316315365e+00,5.322074940136713693e-03,2.220468319345408805e-03,-2.410922277403839131e-01,2.860209105801262905e-02,3.381252557215759513e-02
5.040000000000000036e+00,-1.043833461624417147e-01,3.250956463243875216e+00,6.402234818371202972e-03,3.511316658908548386e-03,-2.370984764200959882e-01,2.567180289490463355e-02,3.075440334848194082e-02
5.080000000000000071e+00,-8.846690553596570084e-02,3.241560319438212101e+00,7.368872846373625968e-03,4.682770549353586220e-03,-2.327665300197533649e-01,2.290804487034042367e-02,2.784307672932927191e-02
5.120000000000000107e+00,-7.376766292645609013e-02,3.232343290070726294e+00,8.228575373857884012e-03,5.740727447742180294e-03,-2.281416940157842965e-01,2.030781418475856998e-02,2.507960460512482018e-02
5.160000000000000142e+00,-6.022166288443475679e-02,3.223316248674209294e+00,8.987793477827672392e-03,6.691101708277988856e-03,-2.232659644736578464e-01,1.786735996333606996e-02,2.246380615275664003e-02
5.200000000000000178e+00,-4.776652475374554285e-02,3.214488452164571353e+00,9.652816118984591104e-03,7.539778831386933708e-03,-2.181781937626852408e-01,1.558233043929065087e-02,1.999444923009715061e-02
5.240000000000000213e+00,-3.634160992584334338e-02,3.205867663293842540e+00,1.022974876799617044e-02,8.292576841083703840e-03,-2.129142534675035614e-01,1.344790037729740040e-02,1.766941861563795652e-02
5.280000000000000249e+00,-2.588814815719420181e-02,3.197460266664706285e+00,1.072449675746716020e-02,8.955214011292582724e-03,-2.075071935742302531e-01,1.145888089759750962e-02,1.548586545395309010e-02
5.320000000000000284e+00,-1.634933031319185659e-02,3.189271378468323537e+00,1.114275269914904304e-02,9.533282217920258789e-03,-2.019873972780602822e-01,9.609813741801382508e-03,1.344033934334155911e-02
5.360000000000000320e+00,-7.670373587624013112e-03,3.181304950129248521e+00,1.148998738413902973e-02,1.003222525159792877e-02,-1.963827309647700747e-01,7.895051866617491462e-03,1.152890452759275028e-02
5.400000000000000355e+00,2.014359257618281163e-04,3.173563866055983951e+00,1.177144365561612858e-02,1.045732148431450549e-02,-1.907186890765942555e-01,6.308828084345559882e-03,9.747241639203527153e-03
5.440000000000000391e+00,7.316719352657763409e-03,3.166050035705008092e+00,1.199213280862480510e-02,1.081367034023466428e-02,-1.850185336899806132e-01,4.845313293406192101e-03,8.090736395847352574e-03
5.480000000000000426e+00,1.372399665394041790e-02,3.158764480171265099e+00,1.215683312946703142e-02,1.110618207576818603e-02,-1.793034287194684717e-01,3.498665670622543369e-03,6.554556583824542974e-03
5.520000000000000462e+00,1.946969112969920701e-02,3.151707413520338008e+00,1.227009023863992812e-02,1.133957042568012503e-02,-1.735925687247812654e-01,2.263072033345033419e-03,5.133718578936189575e-03
5.560000000000000497e+00,2.459814471344490272e-02,3.144878319077522910e+00,1.233621894638439916e-02,1.151834772022249966e-02,-1.679033023440383299e-01,1.132782429262432387e-03,3.823144562856582197e-03
